SMILES,Tg
[*]=CCS(=O)(=O)C(C)C(=[*])C,73.0
[*]=CCS(=O)(=O)CC(=[*])C,88.20000000000005
[*]=Cc1cc(OC)c(/C=C(\c2ccc(OC)cc2)c2ccc(C(=[*])c3ccc(OC)cc3)cc2)cc1OC,170.0
[*]=Cc1ccc(/C=C(\c2ccccc2)c2ccc(-c3ccc(C(=[*])c4ccccc4)cc3)cc2)cc1,220.0
[*]=Cc1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccc(N(c4ccccc4)c4ccc(/C=C/c5ccc(/C=C(\C#N)C(=O)NC6CCCCC6NC(=O)C(=[*])C#N)s5)cc4)cc3)cc2)s1,240.0
[*]=Cc1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccc(N(c4ccccc4)c4ccc(/C=C/c5ccc(/C=C(\C#N)c6cccc(C(=[*])C#N)c6)s5)cc4)cc3)cc2)s1,178.0
[*]=Cc1ccc(C(=[*])c2ccc(C(F)(F)F)cc2)cc1,199.0
[*]=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccc(N(c4ccccc4)c4ccc(C=Cc5ccc(C=C(C#N)C(=O)Nc6cc(-c7ccc(O)c(NC(=O)C(=[*])C#N)c7)ccc6O)s5)cc4)cc3)cc2)s1,221.0
[*]=Cc1ccc(N(c2ccccc2)c2ccc(C=C(c3ccc(OC)cc3)c3ccc(C(=[*])c4ccc(OC)cc4)cc3)cc2)cc1,197.0
[*]=Cc1ccc(N(c2ccccc2)c2ccc(N(c3ccccc3)c3ccc(/C=C(\C#N)C(=O)NC4CCCCC4NC(=O)C(=[*])C#N)cc3)cc2)cc1,239.0
[*]=Cc1ccc(OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccc(C(=[*])C)cc2)cc1,33.0
[*]=Cc1ccc(OCC(O)COC(=O)CCCCCCCCC(=O)OCC(O)COc2ccc(C(=[*])C)cc2)cc1,30.0
[*]=Cc1ccc(OCCCCCCCCCCOc2ccc(/C=C3\CCCC(=[*])C3=O)cc2)cc1,85.0
[*]=Cc1ccc(OCCCCCCCCOc2ccc(/C=C3\CCCC(=[*])C3=O)cc2)cc1,90.0
[*]=Cc1ccc(OCCCCCCOc2ccc(/C=C3\CCCC(=[*])C3=O)cc2)cc1,116.0
[*]=Cc1ccc(OCCOCCOCCOCCOCCOc2ccc(C(=[*])C)cc2)cc1,17.0
[*]=Cc1ccc(OCCOCCOCCOCCOc2ccc(C(=[*])C)cc2)cc1,7.5
[*]=Cc1ccc(OCCOCCOCCOc2ccc(C(=[*])C)cc2)cc1,16.0
[*]=Cc1ccc(OCCOCCOc2ccc(C(=[*])C)cc2)cc1,39.0
[*]=Cc1ccc(Oc2ccc(-c3nnc(-c4ccc(Oc5ccc(C=[*])cc5)cc4)o3)cc2)cc1,215.0
[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(/C=C5\CCC(=[*])C5=O)cc4)cc3)cc2)cc1,235.0
[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(/C=C5\CCCC(=[*])C5=O)cc4)cc3)cc2)cc1,190.0
[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(/C=C5\CCCCC(=[*])C5=O)cc4)cc3)cc2)cc1,186.0
[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc(S(=O)(=O)c8ccc(Oc9ccc(/C=C%10\CCC(=[*])C%10=O)cc9)cc8)cc7)cc6)CCCC5)cc4)cc3)cc2)cc1,240.0
[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc(S(=O)(=O)c8ccc(Oc9ccc(/C=C%10\CCCC(=[*])C%10=O)cc9)cc8)cc7)cc6)CCCCC5)cc4)cc3)cc2)cc1,190.0
[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc(S(=O)(=O)c8ccc(Oc9ccc(/C=C%10\CCCCC(=[*])C%10=O)cc9)cc8)cc7)cc6)CCCCCC5)cc4)cc3)cc2)cc1,196.0
[*]=Cc1ccc2c(c1)c1cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc1n2CCCCCCCCCCCOc1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1,87.0
[*]=Cc1ccc2c(c1)c1cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc1n2CCCCCCCCCCCn1c2ccccc2c2ccccc21,63.0
[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCCCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc21,94.5
[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc21,96.40000000000003
[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc21,96.70000000000005
[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc21,107.80000000000001
[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc21,117.70000000000005
[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)OCCCCn3c4ccccc4c4cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc43)cc2)cc1,122.0
[*]=NCCCCCCCCCCNC(=[*])C,80.0
[*]=NCCCCCCCCCCNC(=[*])c1ccccc1,10.0
[*]=NP(=NP(=NC(=[*])Oc1ccc(Br)cc1)(Oc1ccc(Br)cc1)Oc1ccc(Br)cc1)(Oc1ccc(Br)cc1)Oc1ccc(Br)cc1,45.0
[*]=NP(=NP(=NC(=[*])Oc1ccc(C(=O)OC)cc1)(Oc1ccc(C(=O)OC)cc1)Oc1ccc(C(=O)OC)cc1)(Oc1ccc(C(=O)OC)cc1)Oc1ccc(C(=O)OC)cc1,52.0
[*]=NP(=NP(=NC(=[*])Oc1ccc(C(C)(C)C)cc1)(Oc1ccc(C(C)(C)C)cc1)Oc1ccc(C(C)(C)C)cc1)(Oc1ccc(C(C)(C)C)cc1)Oc1ccc(C(C)(C)C)cc1,74.0
[*]=NP(=NP(=NC(=[*])Oc1ccc(C(C)(C)c2ccccc2)cc1)(Oc1ccc(C(C)(C)c2ccccc2)cc1)Oc1ccc(C(C)(C)c2ccccc2)cc1)(Oc1ccc(C(C)(C)c2ccccc2)cc1)Oc1ccc(C(C)(C)c2ccccc2)cc1,55.0
[*]=NP(=NP(=NC(=[*])Oc1ccc(C(F)(F)F)cc1)(Oc1ccc(C(F)(F)F)cc1)Oc1ccc(C(F)(F)F)cc1)(Oc1ccc(C(F)(F)F)cc1)Oc1ccc(C(F)(F)F)cc1,31.0
[*]=NP(=NP(=NC(=[*])Oc1ccc(OC)cc1)(Oc1ccc(OC)cc1)Oc1ccc(OC)cc1)(Oc1ccc(OC)cc1)Oc1ccc(OC)cc1,37.0
[*]=NP(=NP(=NC(=[*])Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,18.0
[*]=NP(=NP(=NC(=[*])Oc1ccccc1C(F)(F)F)(Oc1ccccc1C(F)(F)F)Oc1ccccc1C(F)(F)F)(Oc1ccccc1C(F)(F)F)Oc1ccccc1C(F)(F)F,-19.99999999999997
[*]=NP(=NP(=NS(=[*])(=O)Nc1ccccc1)(Nc1ccccc1)Nc1ccccc1)(Nc1ccccc1)Nc1ccccc1,82.0
[*]=NP(=NP(=NS(=[*])Oc1ccc(-c2ccccc2)cc1)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1,69.0
[*]=NP(=NP(=NS(=[*])Oc1ccc(C(C)(C)C)cc1)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1,54.0
[*]=NP(=NS(=O)(=NP(=[*])(NC)NC)NC)(NC)NC,22.0
[*]=NP(=NS(=O)(=NP(=[*])(NCC)NCC)NCC)(NCC)NCC,4.0
[*]=NP(=NS(=O)(=NP(=[*])(NCC=C)NCC=C)NCC=C)(NCC=C)NCC=C,-17.99999999999997
[*]=NP(=NS(=O)(=NP(=[*])(NCCC)NCCC)NCCC)(NCCC)NCCC,6.0
[*]=NP(=NS(=O)(=NP(=[*])(NCCCC)NCCCC)NCCCC)(NCCCC)NCCCC,-16.0
[*]=NP(=NS(=O)(=NP(=[*])(NCCCCCC)NCCCCCC)NCCCCCC)(NCCCCCC)NCCCCCC,-17.99999999999997
[*]=NP(Cl)(Cl)=NP(Cl)(Cl)=NC(=[*])Cl,-20.99999999999997
[*]=NP(Cl)(Cl)=NP(Cl)(Cl)=NS(=[*])(=O)F,-55.99999999999997
[*]=NP(Cl)(Cl)=NP(Cl)(Cl)=NS(=[*])Cl,-39.99999999999997
[*]=NS(=NP(=NP(=[*])(Cl)Oc1cccc(-c2ccccc2)c1)(Oc1cccc(-c2ccccc2)c1)Oc1cccc(-c2ccccc2)c1)Oc1cccc(-c2ccccc2)c1,32.0
[*]=NS(=NP(Cl)(=NP(=[*])(Cl)Oc1ccccc1-c1ccccc1)Oc1ccccc1-c1ccccc1)Oc1ccccc1-c1ccccc1,79.0
[*]=Nc1ccc(/N=C(\C)c2ccc(Oc3ccc(C(C)(C)c4ccc(Oc5ccc(C(=[*])C)cc5)cc4)cc3)cc2)cc1,161.0
[*]=Nc1ccc(/N=C(\C)c2ccc(Oc3ccc(C(c4ccccc4)(c4ccccc4)c4ccc(Oc5ccc(C(=[*])C)cc5)cc4)cc3)cc2)cc1,178.0
[*]=Nc1ccc(/N=C(\c2ccccc2)c2ccc(C(=[*])c3ccccc3)cc2)cc1,179.0
[*]=Nc1ccc(/N=C(\c2ccccc2)c2ccc(Oc3ccc(-c4ccc(Oc5ccc(C(=[*])c6ccccc6)cc5)cc4)cc3)cc2)cc1,195.0
[*]=Nc1ccc(/N=C(\c2ccccc2)c2ccc(Oc3ccc(C(c4ccccc4)(c4ccccc4)c4ccc(Oc5ccc(C(=[*])c6ccccc6)cc5)cc4)cc3)cc2)cc1,198.0
[*]=Nc1ccc(/N=C(\c2ccccc2)c2ccc(Oc3ccc(Oc4ccc(C(=[*])c5ccccc5)cc4)cc3)cc2)cc1,176.0
[*]=Nc1ccc(/N=C(\c2ccccc2)c2ccc(Oc3ccc4ccc(Oc5ccc(C(=[*])c6ccccc6)cc5)cc4c3)cc2)cc1,171.0
[*]=Nc1ccc(Cc2ccc(NC(=[*])C)cc2)cc1,142.0
[*]=Nc1ccc(Cc2ccc(NC(=[*])CC)cc2)cc1,130.0
[*]=Nc1ccc(Cc2ccc(NC(=[*])CCC)cc2)cc1,110.0
[*]=Nc1ccc(Cc2ccc(NC(=[*])CCCC)cc2)cc1,106.0
[*]=Nc1ccc(Cc2ccc(NC(=[*])c3ccccc3)cc2)cc1,158.0
[*]=Nc1ccc(N=C(C=CC(=[*])c2ccccc2)c2ccccc2)cc1,157.0
[*]=Nc1ccc(Oc2ccc(/N=C(\C)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc(C(=[*])C)cc6)cc5)cc4)cc3)cc2)cc1,141.0
[*]=Nc1ccc(Oc2ccc(/N=C(\C)c3ccc(Oc4ccc(C(c5ccccc5)(c5ccccc5)c5ccc(Oc6ccc(C(=[*])C)cc6)cc5)cc4)cc3)cc2)cc1,150.0
[*]=Nc1ccc(Oc2ccc(/N=C(\c3ccccc3)c3ccc(Oc4ccc(C(c5ccccc5)(c5ccccc5)c5ccc(Oc6ccc(C(=[*])c7ccccc7)cc6)cc5)cc4)cc3)cc2)cc1,177.0
[*]=Nc1ccc(Oc2ccc(/N=C(\c3ccccc3)c3ccc(Oc4ccc5ccc(Oc6ccc(C(=[*])c7ccccc7)cc6)cc5c4)cc3)cc2)cc1,165.0
[*]=Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(/N=C5/OC(=O)c6ccc(C(=O)c7ccc8c(c7)C(=[*])OC8=O)cc65)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,248.0
[*]=Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N=C5OC(=O)c6cc7c(cc65)C(=[*])OC7=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,287.0
[*]=Nc1ccc(Oc2ccc(N=C(c3ccccc3)c3ccc(Oc4ccc(-c5ccc(Oc6ccc(C(=[*])c7ccccc7)cc6)cc5)cc4)cc3)cc2)cc1,174.0
[*]=Nc1ccc(Oc2ccc(N=C(c3ccccc3)c3ccc(Oc4ccc(Oc5ccc(C(=[*])c6ccccc6)cc5)cc4)cc3)cc2)cc1,162.0
[*]=Nc1ccc(Oc2cccc(N=C3OC(=O)c4ccc(C(=O)c5ccc6c(c5)C(=[*])OC6=O)cc43)c2)cc1,253.0
[*]=Nc1cccc(/N=C(/C=C/C(=[*])c2ccccc2)c2ccccc2)c1,178.0
[*]=Nc1cccc(/N=C(\c2ccccc2)c2ccc(C(=[*])c3ccccc3)cc2)c1,179.0
[*]=Nc1cccc(Oc2cccc(Oc3cccc(N=C4OC(=O)c5ccc(C(=O)c6ccc7c(c6)C(=[*])OC7=O)cc54)c3)c2)c1,190.0
[*]=Nc1cccc(S(=O)(=O)c2cccc(/N=C3/OC(=O)c4ccc(Oc5ccc6c(c5)C(=O)OC6=[*])cc43)c2)c1,190.0
[*]C#CC#CC(C)OC(=O)c1ccc(C(=O)OC([*])C)cc1,133.0
[*]C#CC#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc([*])c3n(CCCCCCCCCCCCCCCC)c12,67.0
[*]C#C[Si](C)(C)C#C[Si](C)(C)C#C[Si](C)(C)O[Si](C)(C)C#C[Si](C)(C)C#C[Si](C)(C)C#C[Si]([*])(C)C,-12.599999999999966
[*]C#C[Si](C)(C)C#C[Si](C)(C)C#C[Si](C)(C)O[Si](C)(C)C#C[Si](C)(C)C#C[Si]([*])(C)C,-16.099999999999966
[*]C#C[Si](C)(C)C#C[Si](C)(C)O[Si](C)(C)C#C[Si](C)(C)C#C[Si]([*])(C)C,-22.99999999999997
[*]C#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc([*])c3n(CCCCCCCCCCCCCCCC)c12,80.0
[*]C#Cc1ccc(-c2nnc(-c3ccc(C#Cc4cc(OCCCCCCCC)c([*])cc4OCCCCCCCC)cc3)o2)cc1,130.0
[*]C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si]([*])(C)C)cc1,78.0
[*]C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si]([*])(C)C)cc1,84.0
[*]C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si]([*])(C)C)cc1,96.0
[*]C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si]([*])(C)C)cc1,104.0
[*]C#Cc1ccc(C#C[Si](C)(C)O[Si]([*])(C)C)cc1,126.0
[*]C#Cc1cccc(C#C[SiH]([*])C)c1,72.0
[*]C#Cc1cccc(C#C[Si]([*])(C)C)c1,50.0
[*]C(=C(Cl)Cl)c1ccc(OCOc2ccc([*])cc2)cc1,108.0
[*]C(=C)c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc([*])cc4)cc3)cc2)cc1,167.0
[*]C(=Nc1ccccc1)c1ccc(-c2ccc([*])cc2)cc1,225.0
[*]C(=Nc1ccccc1)c1ccc(Oc2ccc(Oc3cccc(Oc4ccc(Oc5ccc([*])cc5)cc4)n3)cc2)cc1,135.0
[*]C(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)N(CCCCCCN([*])CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,187.5
[*]C(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)N(CCCCCCN([*])CC(F)(F)C(F)(F)F)CC(F)(F)C(F)(F)F,174.0
[*]C(=O)C(F)(OC(F)(F)C(F)(F)S(=O)(=O)N([*])[Li])C(F)(F)F,67.0
[*]C(=O)CCCCCCCCC(=O)N1CC(C)N([*])CC1C,-60.49999999999997
[*]C(=O)N(C(=O)c1ccc(OCCCCCCOc2ccc([*])cc2)cc1)c1ccc(Oc2ccccc2)cc1,78.0
[*]C(=O)N(C(=O)c1ccc(OCCCCCCOc2ccc([*])cc2)cc1)c1cccc2ccccc12,56.0
[*]C(=O)N(C(=O)c1ccc(OCCCCCCOc2ccc([*])cc2)cc1)c1ccccc1,100.0
[*]C(=O)N(C(=O)c1ccc([*])cc1)c1ccccc1,179.0
[*]C(=O)N(C(=O)c1ccc([*])cc1Sc1ccccc1)c1ccccc1,152.0
[*]C(=O)N(C(=O)c1cccc([*])c1)c1ccccc1,148.0
[*]C(=O)N1CCN(C(=O)c2cccc([*])c2)CC1,214.5
[*]C(=O)N1CCN(C(=O)c2ccccc2-c2ccccc2[*])CC1,193.0
[*]C(=O)NC(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)NC(=O)c3cc([*])cc(C(C)(C)C)c3)cc2)cc1,123.5
[*]C(=O)NC(=O)Oc1ccc(Oc2ccc(OC(=O)NC(=O)c3cc([*])cc(C(C)(C)C)c3)cc2)cc1,114.5
[*]C(=O)NC1CC(C)(C)CC(C)(CNC(=O)c2cc([*])cc(NC(=O)C(C(C)CC)N3C(=O)c4ccccc4C3=O)c2)C1,128.0
[*]C(=O)NCC(C)(C)CNC(=O)c1c([*])ncn1C,152.0
[*]C(=O)NCC1CCC(CNC(=O)c2cc([*])cc(C(C)(C)C)c2)CC1,236.0
[*]C(=O)NCC1CCCC(CNC(=O)c2cc([*])cc(C(C)(C)C)c2)C1,200.0
[*]C(=O)NCCCCCCCCCCCCNC(=O)C(OC)C([*])OC,84.0
[*]C(=O)NCCCCCCCCCNC(=O)C(OC)C([*])OC,84.0
[*]C(=O)NCCCCCCCCNC(=O)C(OC)C([*])OC,89.0
[*]C(=O)NCCCCCCCNC(=O)C(OC)C([*])OC,87.0
[*]C(=O)NCCCCCCNC(=O)C(OC)C([*])OC,106.0
[*]C(=O)NCCCCCCNC(=O)c1c([*])ncn1C,86.0
[*]C(=O)NCCCCCCNC(=O)c1cc([*])cc(C(C)(C)C)c1,163.0
[*]C(=O)NCCCCCCNC(=O)c1cc([*])cc(NC(=O)C(C(C)CC)N2C(=O)c3ccccc3C2=O)c1,135.0
[*]C(=O)NCCCCCCNC(=O)c1cc([*])cc(NC(=O)c2ccc(NC(=O)C(CC(C)C)N3C(=O)c4ccccc4C3=O)cc2)c1,200.0
[*]C(=O)NCCCCCNC(=O)C(OC)C([*])OC,113.0
[*]C(=O)NCCCCNC(=O)C(OC)C([*])OC,100.0
[*]C(=O)NCCCNC(=O)C(OC)C([*])OC,123.0
[*]C(=O)NCCNC(=O)c1c([*])ncn1C,189.0
[*]C(=O)NCc1ccc(CNC(=O)c2cc([*])cc(C(C)(C)C)c2)cc1,204.0
[*]C(=O)NCc1cccc(CNC(=O)c2cc([*])cc(C(C)(C)C)c2)c1,192.0
[*]C(=O)NNC(=O)c1ccc([*])cc1OCC,240.0
[*]C(=O)NNC(=O)c1ccc([*])cc1OCCCCC,234.0
[*]C(=O)NNC(=O)c1ccc([*])cc1OCCCCCCCC,203.5
[*]C(=O)NNC(=O)c1ccc([*])cc1OCCCCCCCCCC,193.0
[*]C(=O)Nc1c(C)cc(-c2cc(C)c(NC(=O)c3ccc(C)c(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(c6cc([*])ccc6C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3)c(C)c2)cc1C,250.0
[*]C(=O)Nc1cc(NC(=O)c2cc([*])cc(OCCCS(=O)(=O)c3ccc(/N=N/c4ccc(N(C)C)cc4)cc3)c2)cc(C(=O)OCCCN(C)c2ccc(/N=N/c3ccc(S(C)(=O)=O)cc3)cc2)c1,166.0
[*]C(=O)Nc1ccc(-c2ccc(NC(=O)N3CC(C)N([*])CC3C)cc2)cc1,250.0
[*]C(=O)Nc1ccc(-c2ccc(NC(=O)c3cc([*])cc(NC(=O)c4ccc(NC(=O)C(C)N5C(=O)c6ccccc6C5=O)cc4)c3)cc2)cc1,202.0
[*]C(=O)Nc1ccc(-c2ccc(NC(=O)c3cc([*])cc(NC(=O)c4ccncc4)c3)cc2)cc1,339.0
